Symbol,Name,% Holding,openhigh_mean,openhigh_std,openhigh_range,openlow_mean,openlow_std,openlow_range,range_mean,range_std,range_range
AAP,Advance Auto Parts Inc,0.04%,3.099,1.143,2.03-5.315,2.808,0.742,1.98-3.91,3.646,0.969,2.36-6.33
CBOE,CBOE Global Markets Inc,0.04%,1.716,0.639,0.84-2.76,2.55,0.642,1.48-3.48,2.571,0.83,1.25-4.1
FANG,Diamondback Energy,0.04%,2.785,0.83,1.43-4.23,2.577,0.856,1.87-3.9,3.107,0.753,2.04-4.58
WRK,Westrock Company,0.04%,0.783,0.261,0.59-1.38,0.919,0.313,0.425-1.47,0.958,0.251,0.66-1.47
XRAY,Dentsply Sirona Inc,0.03%,0.827,0.315,0.46-1.45,0.998,0.454,0.44-1.82,1.182,0.424,0.51-2.015
IRM,Iron Mountain Inc,0.03%,0.723,0.277,0.25-1.18,0.744,0.331,0.36-1.45,0.911,0.308,0.45-1.58
JKHY,Jack Henry & Assoc,0.03%,2.483,0.854,1.01-3.515,2.336,0.758,0.89-3.38,3.171,0.915,1.66-4.94
PNR,Pentair Ltd,0.03%,1.075,0.647,0.42-2.38,1.065,0.475,0.61-2.1,1.314,0.613,0.68-2.63
KIM,Kimco Realty Corp,0.03%,0.342,0.171,0.145-0.73,0.371,0.083,0.2-0.47,0.446,0.138,0.255-0.88
LDOS,Leidos Holdings Inc,0.03%,1.177,0.531,0.46-1.97,1.621,1.122,0.57-4.06,1.698,0.799,0.83-4.06
ATO,Atmos Energy Corp,0.03%,0.973,0.72,0.41-2.21,1.332,0.761,0.42-3.11,1.519,0.774,0.73-3.306
BF.B,Brown Forman Inc Cl B,0.03%,1.057,0.805,0.37-2.4,1.001,0.408,0.49-1.77,1.344,0.811,0.62-3.18
HRL,Hormel Foods Corp,0.03%,0.59,0.228,0.33-1.05,0.504,0.198,0.27-0.805,0.761,0.331,0.44-1.865
ALLE,Allegion Plc,0.03%,2.174,0.83,1.24-3.84,2.95,1.318,1.03-5.13,2.938,1.167,1.24-5.38
AAL,American Airlines Gp,0.03%,0.698,0.478,0.29-1.51,0.531,0.312,0.253-1.35,0.759,0.327,0.44-1.6
HWM,Howmet Aerospace Inc,0.03%,0.563,0.202,0.24-0.84,0.769,0.172,0.56-1.04,0.77,0.167,0.45-1.13
CTXS,Citrix Systems Inc,0.03%,1.607,0.687,0.9-3.16,2.09,1.495,0.82-4.86,2.394,1.236,1.12-5.9
L,Loews Corp,0.03%,0.629,0.163,0.41-0.89,0.879,0.362,0.3-1.515,0.889,0.247,0.52-1.515
HAS,Hasbro Inc,0.03%,1.102,0.298,0.66-1.56,1.006,0.536,0.625-2.33,1.426,0.465,1.0-2.76
LNC,Lincoln National Corp,0.03%,1.37,0.446,0.8-1.92,1.46,0.386,0.95-2.17,1.71,0.279,1.19-2.171
FOXA,Fox Corp Cl A,0.03%,0.697,0.398,0.28-1.4,0.662,0.325,0.32-1.5,0.821,0.365,0.5-1.62
LYV,Live Nation Entertainment,0.03%,1.974,0.147,1.8-2.205,1.436,0.588,0.69-2.62,2.186,0.604,1.15-3.29
FFIV,F5 Networks Inc,0.03%,3.061,2.389,1.58-7.81,3.035,0.868,2.005-4.98,3.759,1.499,2.46-8.42
SNA,Snap-On Inc,0.03%,3.14,1.167,2.07-5.07,3.209,1.063,1.41-4.48,3.963,1.238,2.15-6.92
UHS,Universal Health Services,0.03%,2.394,0.738,1.8-3.81,2.399,0.829,1.34-3.88,2.976,0.972,1.71-5.16
TPR,Tapestry Inc,0.03%,0.808,0.292,0.5-1.24,0.952,0.402,0.41-1.48,1.089,0.294,0.706-1.59
LUMN,Centurylink,0.03%,0.326,0.112,0.18-0.52,0.24,0.128,0.14-0.52,0.345,0.104,0.19-0.55
MHK,Mohawk Industries,0.03%,2.933,0.764,1.915-4.0,4.18,1.623,2.01-7.1,4.539,1.343,2.47-7.1
CHRW,C.H. Robinson Ww,0.03%,1.036,0.246,0.69-1.57,1.436,0.75,0.48-2.49,1.568,0.482,0.79-2.49
FMC,FMC Corp,0.03%,1.341,0.739,0.67-2.98,1.545,0.372,1.25-2.07,1.856,0.726,0.89-3.74
RHI,Robert Half International Inc,0.03%,1.115,0.513,0.56-2.0,1.292,0.468,0.615-2.115,1.532,0.431,0.98-2.54
HST,Host Marriott Financial Trust,0.03%,0.427,0.155,0.185-0.6,0.333,0.082,0.23-0.53,0.457,0.124,0.27-0.72
MOS,Mosaic Company,0.03%,0.943,0.309,0.42-1.31,0.72,0.236,0.42-1.25,0.966,0.288,0.5-1.43
PENN,Penn Natl Gaming Inc,0.03%,2.603,0.615,1.505-3.44,3.2,1.272,1.519-4.91,3.623,0.78,2.429-5.11
RE,Everest Re Group,0.03%,5.676,3.263,2.73-11.2,4.258,1.882,1.48-7.25,5.614,2.504,2.58-12.19
HSIC,Henry Schein Inc,0.03%,1.408,0.618,0.85-2.81,1.009,0.218,0.575-1.255,1.571,0.523,1.04-2.88
NRG,NRG Energy,0.03%,0.664,0.206,0.4-1.0,0.628,0.367,0.295-1.56,0.816,0.284,0.445-1.56
DISH,Dish Network Corp,0.03%,0.88,0.235,0.6-1.23,1.085,0.608,0.51-2.395,1.15,0.477,0.66-2.555
WRB,W.R. Berkley Corp,0.03%,0.891,0.164,0.62-1.13,1.082,0.249,0.72-1.65,1.227,0.398,0.83-2.27
WYNN,Wynn Resorts Ltd,0.03%,2.809,1.487,1.57-5.96,3.342,1.248,2.1-6.18,3.793,1.392,2.165-6.66
BWA,Borgwarner Inc,0.03%,0.763,0.152,0.59-0.99,0.689,0.282,0.355-1.23,0.916,0.228,0.48-1.34
REG,Regency Centers Corp,0.03%,1.24,0.44,0.79-1.97,0.997,0.524,0.49-2.43,1.268,0.458,0.84-2.43
CMA,Comerica Inc,0.03%,1.323,0.551,0.59-2.08,1.704,0.563,1.02-2.43,1.816,0.476,1.11-2.76
AIZ,Assurant Inc,0.03%,2.493,0.903,1.06-3.46,1.836,0.572,0.96-2.92,2.282,0.631,1.25-3.46
LW,Lamb Weston Holdings Inc,0.03%,0.967,0.293,0.52-1.28,1.024,0.385,0.41-1.51,1.246,0.383,0.63-2.04
NI,NiSource Inc,0.03%,0.308,0.174,0.105-0.605,0.291,0.152,0.1-0.595,0.38,0.165,0.15-0.68
AOS,Smith A.O. Corp,0.03%,0.673,0.122,0.48-0.84,1.251,0.353,0.66-1.82,1.27,0.368,0.67-1.86
JNPR,Juniper Networks,0.03%,0.277,0.061,0.19-0.37,0.371,0.149,0.17-0.68,0.444,0.137,0.23-0.75
CF,Cf Industries Holdings,0.03%,1.237,0.509,0.549-2.245,1.157,0.279,0.81-1.76,1.398,0.394,1.02-2.345
DVA,Davita Healthcare Partners Inc,0.03%,1.455,0.364,1.06-2.18,2.499,1.475,1.22-5.7,2.387,1.044,1.47-5.73
NWL,Newell Rubbermaid Inc,0.02%,0.366,0.178,0.16-0.79,0.475,0.206,0.268-0.87,0.492,0.205,0.28-0.92
IVZ,Invesco Plc,0.02%,0.535,0.197,0.23-0.82,0.518,0.109,0.335-0.67,0.628,0.143,0.395-0.87
NCLH,Norwegian Cruise Ord,0.02%,0.811,0.215,0.48-1.195,0.781,0.19,0.52-1.1,1.094,0.217,0.74-1.435
DXC,Dxc Technology Company,0.02%,0.793,0.245,0.55-1.15,1.344,0.923,0.405-3.61,1.275,0.734,0.748-3.722
SEE,Sealed Air Corp,0.02%,0.646,0.298,0.31-1.13,0.73,0.344,0.41-1.35,0.882,0.301,0.51-1.511
GL,Globe Life Inc,0.02%,1.285,0.393,0.725-1.72,1.364,0.418,0.78-2.17,1.528,0.397,0.805-2.242
MRO,Marathon Oil Corp,0.02%,0.448,0.133,0.265-0.65,0.389,0.164,0.16-0.635,0.491,0.129,0.32-0.725
ZION,Zions Bancorp,0.02%,1.213,0.642,0.64-2.3,0.974,0.348,0.55-1.68,1.411,0.51,0.91-2.645
TAP,Molson Coors Brewing Company,0.02%,1.033,0.364,0.64-1.61,0.707,0.177,0.455-1.02,1.022,0.285,0.555-1.76
WU,Western Union Company,0.02%,0.317,0.15,0.125-0.51,0.356,0.188,0.115-0.74,0.397,0.169,0.2-0.83
PNW,Pinnacle West Capital Corp,0.02%,0.765,0.222,0.47-1.05,1.075,0.474,0.55-2.1,1.227,0.48,0.75-2.68
BEN,Franklin Resources,0.02%,0.465,0.226,0.2-0.745,0.592,0.159,0.31-0.79,0.642,0.174,0.28-0.828
NWSA,News Cp Cl A,0.02%,0.284,0.076,0.19-0.39,0.323,0.089,0.22-0.49,0.434,0.079,0.34-0.6
CPB,Campbell Soup Company,0.02%,0.824,0.213,0.59-1.27,0.479,0.141,0.33-0.76,0.907,0.274,0.495-1.47
ROL,Rollins Inc,0.02%,0.546,0.201,0.22-0.895,0.809,0.461,0.4-1.64,0.812,0.369,0.36-1.74
OGN,Organon & CO,0.02%,0.698,0.273,0.34-1.14,0.687,0.177,0.43-1.04,0.859,0.228,0.58-1.29
HII,Huntington Ingalls Industries,0.02%,2.175,0.581,1.62-3.145,3.084,0.903,2.21-5.04,3.07,0.935,2.15-5.04
FRT,Federal Realty Investment Trust,0.02%,1.651,0.606,1.13-2.644,1.583,0.646,1.05-3.05,2.037,0.579,1.46-3.584
DISCK,Discovery Comm Inc,0.02%,0.569,0.249,0.335-1.07,0.748,0.185,0.42-1.01,0.809,0.236,0.535-1.24
PVH,Phillips-Van Heusen Corp,0.02%,2.549,0.771,1.57-3.715,3.927,1.244,2.46-6.707,4.182,1.023,3.04-6.707
NLSN,Nielsen Holdings Plc,0.02%,0.356,0.077,0.25-0.45,0.474,0.142,0.26-0.73,0.515,0.138,0.29-0.802
ALK,Alaska Air Group,0.02%,1.351,0.726,0.84-3.08,1.353,0.55,0.75-2.34,1.732,0.602,1.06-3.4
PBCT,People's United Finl,0.02%,0.278,0.132,0.155-0.55,0.287,0.113,0.18-0.53,0.351,0.105,0.199-0.58
APA,Apa Corp,0.02%,0.781,0.26,0.42-1.11,0.648,0.284,0.33-1.28,0.822,0.231,0.55-1.31
HBI,Hanesbrands Inc,0.02%,0.381,0.129,0.185-0.56,0.432,0.197,0.195-0.735,0.504,0.13,0.315-0.735
VNO,Vornado Realty Trust,0.02%,0.849,0.242,0.53-1.28,0.877,0.226,0.6-1.29,1.049,0.225,0.7-1.44
LEG,Leggett & Platt Inc,0.02%,0.83,0.339,0.29-1.27,0.792,0.185,0.48-1.06,0.936,0.187,0.57-1.27
IPGP,Ipg Photonics Corp,0.02%,2.87,0.609,2.13-3.67,2.503,0.666,1.448-3.31,3.326,0.668,1.998-4.41
GPS,Gap Inc,0.02%,0.453,0.148,0.29-0.6,0.785,0.247,0.455-1.22,0.9,0.334,0.43-1.76
COG,Cabot Oil & Gas Corp,0.02%,0.59,0.29,0.25-1.23,0.493,0.164,0.3-0.7,0.64,0.252,0.31-1.265
RL,Ralph Lauren Corp,0.02%,2.222,0.767,1.32-3.27,2.604,0.782,1.245-3.61,3.017,0.546,2.23-3.89
PRGO,Perrigo Company,0.01%,1.292,0.7,0.575-2.77,0.894,0.387,0.4-1.69,1.291,0.645,0.66-2.98
UNM,Unumprovident Corp,0.01%,0.505,0.143,0.28-0.69,0.476,0.162,0.315-0.78,0.626,0.126,0.425-0.93
FOX,Fox Corp Cl B,0.01%,0.614,0.36,0.3-1.39,0.581,0.252,0.24-1.12,0.729,0.298,0.44-1.53
NOV,Nov Inc,0.01%,0.441,0.141,0.24-0.64,0.38,0.167,0.215-0.665,0.495,0.131,0.34-0.715
DISCA,Discovery Comm A,0.01%,0.628,0.266,0.31-1.17,0.902,0.251,0.526-1.31,0.902,0.235,0.61-1.31
UAA,Under Armour,0.01%,0.663,0.26,0.425-1.025,0.635,0.303,0.32-1.23,0.768,0.294,0.399-1.337
UA,Under Armour Inc Cl C,0.01%,0.461,0.179,0.19-0.675,0.505,0.253,0.14-0.93,0.616,0.243,0.25-1.16
GDX,,,0.594,0.314,0.34-1.31,0.489,0.149,0.23-0.705,0.658,0.256,0.33-1.44
GDXJ,,,1.145,0.576,0.61-2.21,0.79,0.233,0.405-1.11,1.083,0.428,0.675-2.29
JETS,,,0.43,0.214,0.205-0.83,0.414,0.231,0.18-0.92,0.538,0.18,0.305-0.92
SMH,,,3.226,1.116,1.63-5.04,2.762,1.254,1.12-4.86,3.546,0.944,1.84-5.24
XLB,,,0.745,0.181,0.45-0.94,0.744,0.348,0.385-1.39,0.894,0.316,0.445-1.54
XLC,,,0.65,0.342,0.275-1.32,0.743,0.191,0.425-1.09,0.885,0.273,0.51-1.43
XLE,,,0.942,0.272,0.44-1.17,0.826,0.287,0.4-1.365,1.065,0.23,0.65-1.454
XLF,,,0.353,0.137,0.175-0.52,0.433,0.17,0.2-0.765,0.469,0.151,0.285-0.905
XLI,,,0.798,0.266,0.58-1.32,0.943,0.462,0.4-1.74,1.09,0.396,0.62-1.83
XLK,,,1.166,0.294,0.72-1.51,1.459,0.555,0.89-2.566,1.661,0.51,1.095-2.986
XLP,,,0.389,0.168,0.18-0.79,0.552,0.135,0.41-0.77,0.563,0.148,0.36-0.83
XLRE,,,0.511,0.165,0.31-0.78,0.524,0.194,0.195-0.816,0.64,0.141,0.32-0.866
XLU,,,0.588,0.424,0.225-1.47,0.675,0.249,0.32-0.98,0.783,0.323,0.35-1.62
XLV,,,1.005,0.452,0.43-1.64,1.239,0.498,0.67-2.24,1.414,0.388,0.79-2.27
XLY,,,1.263,0.389,0.69-1.815,1.399,0.557,0.76-2.22,1.725,0.594,0.98-3.235
SPY,,,2.762,0.915,1.65-3.79,2.725,1.601,1.035-5.73,3.272,1.437,1.565-6.18
QQQ,,,2.902,0.774,1.66-3.92,2.963,1.261,1.162-4.985,3.577,1.115,2.219-5.725
IWM,,,2.972,1.828,1.369-6.425,2.601,1.049,1.05-4.68,3.3,1.129,1.78-6.455
